Read_fragtion	Genomospecies	MG_1T016	MG_1T034	MG_1T039	MG_1T055	MG_1T072	MG_1T078	MG_1T091	MG_2T009	MG_2T010	MG_2T016	MG_2T048	MG_2T066	MG_2T078	MG_2T084	MG_3T000
90	gsp005	28.354594542576	13.9106234855203	44.3437407274061	7.06437116460192	86.4105295724783	95.6001309295534	24.1085005864817	36.9710904000611	40.3015562551784	38.2087591955641	8.55001555368808	12.5379820218782	19.9364599130597	20.7674113724684	33.6586837063616
100	gsp005	31.5265440464829	15.4449540839089	49.2501277850493	7.86677939045582	95.995340224792	106.27940670594	26.771939036296	41.0607995144379	44.765007620674	42.4525920632716	9.5163858209456	13.951508370079	22.1285878475257	23.0954401313854	37.3911948820136
1	gsp006	0.0520397703977039	0.0022534850348503	0.0289175891758917	0.0841851168511685	0.701237187371874	0.651419639196392	2.06693931939319	0.114770910209102	0.111629253792538	0.149183579335793	0.144235854858549	1.63742004920049	1.98581642066421	1.52404007790078	0.248561910619106
5	gsp006	0.265157339073391	0.0125184501845018	0.13560578105781	0.431103423534235	3.4910250102501	3.18061346863469	10.2282257072571	0.543311808118081	0.593258507585076	0.7622524600246	0.683082205822058	8.10342609676097	9.85188243132431	7.68632021320213	1.23878946289463
10	gsp006	0.554556683066831	0.0213863263632636	0.281710229602296	0.824854961049611	7.00809911849118	6.38700133251333	20.5009681221812	1.06863161131611	1.18014555145551	1.4879745797458	1.39142988929889	16.2504315293153	19.6936403239032	15.3555125051251	2.51599272242722
20	gsp006	1.10103218532185	0.0414355268552685	0.560638068880689	1.66136275112751	13.9673580360804	12.6304084665847	41.0885865108651	2.16025112751128	2.33960332103321	3.0597299097991	2.7570274702747	32.5068224682247	39.4753505535055	30.6427003895039	5.0005176301763
30	gsp006	1.63875973759738	0.058850963509635	0.832381098810988	2.51361674866749	20.9860916359164	19.1011305863059	61.6050056375564	3.24675840508405	3.54323493234932	4.53014811398114	4.09943573185732	48.6510183476835	59.2506498564986	46.0749108241082	7.48583282082821
40	gsp006	2.18330002050021	0.0919885198851988	1.11035157851579	3.32172509225092	28.0278459409594	25.4080396678967	82.0944111316113	4.30230371053711	4.6972545100451	6.08733599835998	5.52925686756868	65.0526322263223	78.8106657441574	61.4187976629766	10.0544362443624
50	gsp006	2.73281672816728	0.108668511685117	1.40149190241902	4.20007021320213	34.8735578105781	31.8354873923739	102.572086408364	5.38049559245592	5.84962023370234	7.55138376383764	6.8479643296433	81.3968281057811	98.8450768757688	76.8424666871669	12.5472862853629
60	gsp006	3.25836869618696	0.125736982369824	1.6545172201722	5.00005893808938	41.9747985854859	38.0989124641246	123.009639196392	6.47321494464945	6.98862494874949	9.04219813448134	8.27809296842968	97.6021940344403	118.517781877819	92.1450133251332	15.0362464124641
70	gsp006	3.82681478064781	0.147525112751128	1.94661644116441	5.84159184091841	48.9874087740877	44.5326696391964	143.729783722837	7.5386987494875	8.19449364493645	10.5460767732677	9.64818419434194	113.995528905289	138.285737494875	107.664265580156	17.5852547150471
80	gsp006	4.35774087740877	0.169218429684297	2.23648011480115	6.66344454694547	55.922249897499	50.8354202542025	164.150874846248	8.61743542435424	9.35961049610496	12.0462884378844	11.0283907339073	130.146908569086	157.954348605986	122.952033620336	20.1063058630586
90	gsp006	4.91006355063551	0.190074825748257	2.49451619516195	7.48561244362444	62.9571894218942	57.2324482369824	184.621920869209	9.70089534645346	10.5148339483395	13.5550005125051	12.3931411439114	146.440826670767	177.814409081591	138.272622488725	22.6343619311193
100	gsp006	5.4517348298483	0.211988007380074	2.76672611726117	8.33670305453055	69.9377741902419	63.5809348093481	205.162543562936	10.7852875153752	11.6799205617056	15.0682057195572	13.7697104346043	162.715113263633	197.553187269373	153.687696801968	25.0960567855679
1	gsp007	0.313567746376413	0.0544073804303764	0.0235956850432819	0.0406787171597826	0.0590178746504254	0.0536034783890476	0.0331155776379656	1.5707599854233	1.65541537441044	1.69788979126299	0.352115008491699	1.34860550065536	1.45624602769117	2.30054835491251	1.04947341459098
5	gsp007	1.61435677145297	0.290727738351041	0.12717985067531	0.192756328510679	0.303248501270911	0.287211861171986	0.170202485954462	7.91243245653265	8.20119798237421	8.5785783536068	1.74733545371785	6.5418117777336	7.27496907456635	11.6189508873632	5.14797211501759
10	gsp007	3.23142915766807	0.574190331428748	0.24888388642734	0.392909738679517	0.594999429033921	0.554520891216631	0.323265070661033	15.7065361739995	16.4472848174433	17.1133752102452	3.53294110314286	13.1784162083394	14.6394296890532	23.0947421530835	10.3704032112406
20	gsp007	6.4758567789597	1.1220793720192	0.492341092860922	0.768432536604385	1.16453604570276	1.12108939417997	0.658801589969923	31.3364655334393	32.904426192739	34.3166828099174	7.01305988228545	26.3690174242469	29.2480599664518	46.3396374661117	20.8218372005101
30	gsp007	9.73058499228172	1.71124448312556	0.748884568856917	1.17009284226914	1.78260250433457	1.68534673564362	0.99227307737978	47.1324736843781	49.4572619378543	51.4625043618624	10.5128494664993	39.4961121987017	43.8963075555418	69.4635466593025	31.1644418704212
40	gsp007	12.9542986011559	2.27903862960862	0.999258881479726	1.56254262341398	2.36714529244155	2.25584011857896	1.32741606229945	62.5907811043439	65.8879978380631	68.6529577180283	14.0153228187617	52.5178425762354	58.6547661564065	92.7719684317177	41.3559043124545
50	gsp007	16.148509869524	2.82353917987433	1.24193447857148	1.94650571034322	2.95890409089234	2.82287904299716	1.63927636987501	78.5882106196051	82.3540540183956	85.7785356790106	17.5292514338983	65.8016900595943	73.2117378797095	116.054218119961	51.8270559669595
60	gsp007	19.2989309968158	3.38768141821605	1.48333757197926	2.32405259439252	3.53995283956672	3.39019685363569	1.98479000959496	94.1607494714583	98.8418910760504	102.960756204763	21.0868209655105	79.0592913014341	87.9294417862549	139.375460469357	62.1472146181875
70	gsp007	22.5554016803236	3.96292633081729	1.73058271751647	2.74069768870201	4.12397743614848	3.93168288498468	2.31122246339789	110.011446163813	115.197032432238	120.241189265474	24.5010134079214	92.0660159624828	102.338470511536	162.539789966374	72.5443863570499
80	gsp007	25.7895864886223	4.53023185772344	1.97832376187939	3.11561494411584	4.71708790011415	4.48780976047177	2.64113439813578	125.658599135862	131.737870155489	137.346048664508	28.0698261942859	105.236732090432	117.08897107363	185.605938775148	82.9344330761787
90	gsp007	29.0351969878468	5.09322397475193	2.22951335036981	3.51901681006029	5.31730882531577	5.06864331635297	2.98242698344744	141.387812444695	148.272349454898	154.45701671816	31.5880609400513	118.519109620483	131.608360945192	208.816471484225	93.3253510304004
100	gsp007	32.2617440443233	5.64999233404109	2.47314161915061	3.88990545620645	5.90432018867813	5.63313131901353	3.30740449739289	157.055048864232	164.679221702716	171.633644051102	35.0683839931138	131.630297416458	146.355535800483	232.077890237117	103.655460414763
